index,date,time,heartRate,date_time,weekday,prediction,score
133178,2024-10-21,15:54,83,2024-10-21 00:15:54,0,85.99233,0
133179,2024-10-21,15:55,84,2024-10-21 00:15:55,0,84.82806,0
133180,2024-10-21,15:56,88,2024-10-21 00:15:56,0,84.54131,0
133181,2024-10-21,15:57,92,2024-10-21 00:15:57,0,87.85305,0
133182,2024-10-21,15:59,89,2024-10-21 00:15:59,0,91.55943,0
133183,2024-10-21,16:01,85,2024-10-21 00:16:01,0,89.58851,0
133184,2024-10-21,16:03,68,2024-10-21 00:16:03,0,87.63901,2
133185,2024-10-21,16:04,89,2024-10-21 00:16:04,0,76.19053,2
133186,2024-10-21,16:05,77,2024-10-21 00:16:05,0,88.669586,2
133187,2024-10-21,16:06,72,2024-10-21 00:16:06,0,80.983185,1
133188,2024-10-21,16:07,75,2024-10-21 00:16:07,0,77.091415,0
133189,2024-10-21,16:08,74,2024-10-21 00:16:08,0,78.956505,0
133190,2024-10-21,16:11,65,2024-10-21 00:16:11,0,78.443726,2
133191,2024-10-21,16:12,67,2024-10-21 00:16:12,0,72.956375,1
133192,2024-10-21,16:13,79,2024-10-21 00:16:13,0,73.6326,1
133193,2024-10-21,16:14,93,2024-10-21 00:16:14,0,80.28948,2
133194,2024-10-21,16:15,91,2024-10-21 00:16:15,0,88.96543,0
133195,2024-10-21,16:16,75,2024-10-21 00:16:16,0,89.49337,2
133196,2024-10-21,16:17,87,2024-10-21 00:16:17,0,80.24097,1
133197,2024-10-21,16:18,83,2024-10-21 00:16:18,0,87.868774,0
133198,2024-10-21,16:19,92,2024-10-21 00:16:19,0,86.11473,1
133199,2024-10-21,16:20,96,2024-10-21 00:16:20,0,92.3374,0
133200,2024-10-21,16:21,91,2024-10-21 00:16:21,0,95.079704,0
133201,2024-10-21,16:22,95,2024-10-21 00:16:22,0,91.49576,0
133202,2024-10-21,16:23,91,2024-10-21 00:16:23,0,93.51392,0
133203,2024-10-21,16:24,87,2024-10-21 00:16:24,0,91.137276,0
133204,2024-10-21,16:25,75,2024-10-21 00:16:25,0,88.50654,2
133205,2024-10-21,16:26,90,2024-10-21 00:16:26,0,82.953064,1
133206,2024-10-21,16:27,86,2024-10-21 00:16:27,0,89.88515,0
133207,2024-10-21,16:28,81,2024-10-21 00:16:28,0,87.63938,1
133208,2024-10-21,16:29,62,2024-10-21 00:16:29,0,84.83108,4
133209,2024-10-21,16:30,68,2024-10-21 00:16:30,0,74.21488,1
133210,2024-10-21,16:31,60,2024-10-21 00:16:31,0,76.35105,2
133211,2024-10-21,16:32,72,2024-10-21 00:16:32,0,71.50084,0
